Diam ,Internal Blocks ,Size semi-Structured (MiB) ,Size - Structured (MiB) ,Ratio
8 ,1 ,0.008324 ,0.008301 ,1.002757 
48 ,216 ,1.797913 ,1.792969 ,1.002757 
88 ,1331 ,11.078804 ,11.048340 ,1.002757 
128 ,4096 ,34.093750 ,34.000000 ,1.002757 
168 ,9261 ,77.085503 ,76.873535 ,1.002757 
208 ,17576 ,146.296814 ,145.894531 ,1.002757 
248 ,29791 ,247.970428 ,247.288574 ,1.002757 
288 ,46656 ,388.349121 ,387.281250 ,1.002757 
328 ,68921 ,573.675598 ,572.098145 ,1.002757 
368 ,97336 ,810.192688 ,807.964844 ,1.002757 
408 ,132651 ,1104.143066 ,1101.106934 ,1.002757 
448 ,175616 ,1461.769531 ,1457.750000 ,1.002757 
488 ,226981 ,1889.314819 ,1884.119629 ,1.002757 
528 ,287496 ,2393.021729 ,2386.441406 ,1.002757 
568 ,357911 ,2979.132812 ,2970.940918 ,1.002757 
608 ,438976 ,3653.891113 ,3643.843750 ,1.002757 
648 ,531441 ,4423.539062 ,4411.375488 ,1.002757 
688 ,636056 ,5294.319824 ,5279.761719 ,1.002757 
728 ,753571 ,6272.476074 ,6255.228027 ,1.002757 
768 ,884736 ,7364.250000 ,7344.000000 ,1.002757 
