Diam ,Internal Blocks,Size semi-Structured (MiB) ,Size - Structured (MiB) ,Ratio
8 ,5 ,0.041618 ,0.074707 ,0.557087 
48 ,1080 ,8.989563 ,16.136719 ,0.557087 
88 ,6655 ,55.394020 ,99.435059 ,0.557087 
128 ,20480 ,170.468750 ,306.000000 ,0.557087 
168 ,46305 ,385.427521 ,691.861816 ,0.557087 
208 ,87880 ,731.484070 ,1313.050781 ,0.557087 
248 ,148955 ,1239.852173 ,2225.597168 ,0.557087 
288 ,233280 ,1941.745605 ,3485.531250 ,0.557087 
328 ,344605 ,2868.378174 ,5148.883301 ,0.557087 
368 ,486680 ,4050.963379 ,7271.683594 ,0.557087 
408 ,663255 ,5520.715332 ,9909.962891 ,0.557087 
448 ,878080 ,7308.847656 ,13119.750000 ,0.557087 
488 ,1134905 ,9446.574219 ,16957.076172 ,0.557087 
