Diam ,Internal Blocks,Size semi-Structured (MiB) ,Size - Structured (MiB) ,Ratio
8 ,1 ,0.008324 ,0.008301 ,1.002757 
48 ,184 ,1.531555 ,1.792969 ,0.854201 
88 ,937 ,7.799278 ,11.048340 ,0.705923 
128 ,2689 ,22.382347 ,34.000000 ,0.658304 
168 ,5761 ,47.952660 ,76.873535 ,0.623786 
208 ,10618 ,88.380722 ,145.894531 ,0.605785 
248 ,17590 ,146.413345 ,247.288574 ,0.592075 
288 ,27133 ,225.846130 ,387.281250 ,0.583158 
328 ,39541 ,329.126221 ,572.098145 ,0.575297 
368 ,55309 ,460.373840 ,807.964844 ,0.569794 
408 ,74823 ,622.801941 ,1101.106934 ,0.565614 
448 ,98430 ,819.298767 ,1457.750000 ,0.562030 
488 ,126459 ,1052.602905 ,1884.119629 ,0.558671 
528 ,159528 ,1327.858398 ,2386.441406 ,0.556418 
568 ,197805 ,1646.463379 ,2970.940918 ,0.554189 
608 ,241830 ,2012.912964 ,3643.843750 ,0.552415 
648 ,291849 ,2429.254639 ,4411.375488 ,0.550680 
688 ,348446 ,2900.349365 ,5279.761719 ,0.549333 
728 ,411749 ,3427.262451 ,6255.228027 ,0.547904 
768 ,482264 ,4014.206055 ,7344.000000 ,0.546597 
